task_id,language_full,language_phrase_1,language_phrase_2,language_phrase_3,language_phrase_4,question sentence,code_phrase_1,code_phrase_2,code_phrase_3,code_phrase_4,question code,choice_index,finish_reason,text,codex_language_phrase_1,codex_code_phrase_1,codex_language_phrase_2,codex_code_phrase_2,codex_language_phrase_3,codex_code_phrase_3
0," In Game 1, James won against John. In Game 2, James won against John. In Game 3, James won against John."," In Game 1, James won against John."," In Game 2, James won against John."," In Game 3, James won against John.",,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is James?","condition(winner(['James'],['John'],1) == 1);","condition(winner(['James'],['John'],2) == 1);","condition(winner(['James'],['John'],3) == 1);",,strength(John),0,stop,"
//  In Game 1, James won against John.
condition(winner(['John'],['James'],1) == 2);

//  In Game 2, James won against John.
condition(winner(['John'],['James'],2) == 2);

//  In Game 3, James won against John.
condition(winner(['John'],['James'],3) == 2);

"," In Game 1, James won against John.","condition(winner(['John'],['James'],1) == 2);"," In Game 2, James won against John.","condition(winner(['John'],['James'],2) == 2);"," In Game 3, James won against John.","condition(winner(['John'],['James'],3) == 2);"
1," In Game 1, Robert won against Michael. In Game 2, Michael won against William. In Game 3, Michael won against David."," In Game 1, Robert won against Michael."," In Game 2, Michael won against William."," In Game 3, Michael won against David.",,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Robert?","condition(winner(['Robert'],['Michael'],1) == 1);","condition(winner(['Michael'],['William'],2) == 1);","condition(winner(['Michael'],['David'],3) == 1);",,strength(Michael),0,stop,"
//  In Game 1, Robert won against Michael.
condition(winner(['Michael'],['Robert'],1) == 2);

//  In Game 2, Michael won against William.
condition(winner(['Michael'],['William'],2) == 1);

//  In Game 3, Michael won against David.
condition(winner(['Michael'],['David'],3) == 1);

"," In Game 1, Robert won against Michael.","condition(winner(['Michael'],['Robert'],1) == 2);"," In Game 2, Michael won against William.","condition(winner(['Michael'],['William'],2) == 1);"," In Game 3, Michael won against David.","condition(winner(['Michael'],['David'],3) == 1);"
2," In Game 1, Richard won against Charles. In Game 2, Joseph won against Charles. In Game 3, Thomas won against Charles."," In Game 1, Richard won against Charles."," In Game 2, Joseph won against Charles."," In Game 3, Thomas won against Charles.",,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Richard?","condition(winner(['Richard'],['Charles'],1) == 1);","condition(winner(['Charles'],['Joseph'],2) == 2);","condition(winner(['Charles'],['Thomas'],3) == 2);",,strength(Charles),0,stop,"
//  In Game 1, Richard won against Charles.
condition(winner(['Charles'],['Richard'],1) == 2);

//  In Game 2, Joseph won against Charles.
condition(winner(['Charles'],['Joseph'],2) == 2);

//  In Game 3, Thomas won against Charles.
condition(winner(['Charles'],['Thomas'],3) == 2);

"," In Game 1, Richard won against Charles.","condition(winner(['Charles'],['Richard'],1) == 2);"," In Game 2, Joseph won against Charles.","condition(winner(['Charles'],['Joseph'],2) == 2);"," In Game 3, Thomas won against Charles.","condition(winner(['Charles'],['Thomas'],3) == 2);"
3," In Game 1, Christopher won against Daniel. In Game 2, Christopher won against Paul. In Game 3, Christopher won against Mark."," In Game 1, Christopher won against Daniel."," In Game 2, Christopher won against Paul."," In Game 3, Christopher won against Mark.",,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Christopher?","condition(winner(['Christopher'],['Daniel'],1) == 1);","condition(winner(['Christopher'],['Paul'],2) == 1);","condition(winner(['Christopher'],['Mark'],3) == 1);",,strength(Daniel),0,stop,"
//  In Game 1, Christopher won against Daniel.
condition(winner(['Daniel'],['Christopher'],1) == 2);

//  In Game 2, Christopher won against Paul.
condition(winner(['Christopher'],['Paul'],2) == 1);

//  In Game 3, Christopher won against Mark.
condition(winner(['Christopher'],['Mark'],3) == 1);

"," In Game 1, Christopher won against Daniel.","condition(winner(['Daniel'],['Christopher'],1) == 2);"," In Game 2, Christopher won against Paul.","condition(winner(['Christopher'],['Paul'],2) == 1);"," In Game 3, Christopher won against Mark.","condition(winner(['Christopher'],['Mark'],3) == 1);"
4," In Game 1, a team of Donald and George won against a team of Kenneth and Steven. In Game 2, a team of Donald and George won against a team of Edward and Brian. In Game 3, a team of Donald and George won against a team of Ronald and Anthony."," In Game 1, a team of Donald and George won against a team of Kenneth and Steven."," In Game 2, a team of Donald and George won against a team of Edward and Brian."," In Game 3, a team of Donald and George won against a team of Ronald and Anthony.",,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Donald?","condition(winner(['Donald', 'George'],['Kenneth', 'Steven'],1) == 1);","condition(winner(['Donald', 'George'],['Edward', 'Brian'],2) == 1);","condition(winner(['Donald', 'George'],['Ronald', 'Anthony'],3) == 1);",,strength(George),0,stop,"
//  In Game 1, a team of Donald and George won against a team of Kenneth and Steven.
condition(winner(['Donald', 'George'],['Kenneth', 'Steven'],1) == 1);

//  In Game 2, a team of Donald and George won against a team of Edward and Brian.
condition(winner(['Donald', 'George'],['Edward', 'Brian'],2) == 1);

//  In Game 3, a team of Donald and George won against a team of Ronald and Anthony.
condition(winner(['Donald', 'George'],['Ronald', 'Anthony'],3) == 1);

"," In Game 1, a team of Donald and George won against a team of Kenneth and Steven.","condition(winner(['Donald', 'George'],['Kenneth', 'Steven'],1) == 1);"," In Game 2, a team of Donald and George won against a team of Edward and Brian.","condition(winner(['Donald', 'George'],['Edward', 'Brian'],2) == 1);"," In Game 3, a team of Donald and George won against a team of Ronald and Anthony.","condition(winner(['Donald', 'George'],['Ronald', 'Anthony'],3) == 1);"
5," In Game 1, a team of Kevin and Jason won against a team of Timothy and Jose. In Game 2, a team of Kevin and Matthew won against a team of Timothy and Larry. In Game 3, a team of Kevin and Gary won against a team of Timothy and Jeffrey."," In Game 1, a team of Kevin and Jason won against a team of Timothy and Jose."," In Game 2, a team of Kevin and Matthew won against a team of Timothy and Larry."," In Game 3, a team of Kevin and Gary won against a team of Timothy and Jeffrey.",,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Kevin?","condition(winner(['Kevin', 'Jason'],['Timothy', 'Jose'],1) == 1);","condition(winner(['Kevin', 'Matthew'],['Timothy', 'Larry'],2) == 1);","condition(winner(['Kevin', 'Gary'],['Timothy', 'Jeffrey'],3) == 1);",,strength(Jason),0,stop,"
//  In Game 1, a team of Kevin and Jason won against a team of Timothy and Jose.
condition(winner(['Kevin', 'Jason'],['Timothy', 'Jose'],1) == 1);

//  In Game 2, a team of Kevin and Matthew won against a team of Timothy and Larry.
condition(winner(['Kevin', 'Matthew'],['Timothy', 'Larry'],2) == 1);

//  In Game 3, a team of Kevin and Gary won against a team of Timothy and Jeffrey.
condition(winner(['Kevin', 'Gary'],['Timothy', 'Jeffrey'],3) == 1);

"," In Game 1, a team of Kevin and Jason won against a team of Timothy and Jose.","condition(winner(['Kevin', 'Jason'],['Timothy', 'Jose'],1) == 1);"," In Game 2, a team of Kevin and Matthew won against a team of Timothy and Larry.","condition(winner(['Kevin', 'Matthew'],['Timothy', 'Larry'],2) == 1);"," In Game 3, a team of Kevin and Gary won against a team of Timothy and Jeffrey.","condition(winner(['Kevin', 'Gary'],['Timothy', 'Jeffrey'],3) == 1);"
6," In Game 1, a team of Frank and Scott won against a team of Andrew and Raymond. In Game 2, a team of Andrew and Raymond won against a team of Scott and Eric. In Game 3, a team of Andrew and Raymond won against a team of Scott and Stephen."," In Game 1, a team of Frank and Scott won against a team of Andrew and Raymond."," In Game 2, a team of Andrew and Raymond won against a team of Scott and Eric."," In Game 3, a team of Andrew and Raymond won against a team of Scott and Stephen.",,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Frank?","condition(winner(['Frank', 'Scott'],['Andrew', 'Raymond'],1) == 1);","condition(winner(['Scott', 'Eric'],['Andrew', 'Raymond'],2) == 2);","condition(winner(['Scott', 'Stephen'],['Andrew', 'Raymond'],3) == 2);",,strength(Scott),0,stop,"
//  In Game 1, a team of Frank and Scott won against a team of Andrew and Raymond.
condition(winner(['Frank', 'Scott'],['Andrew', 'Raymond'],1) == 1);

//  In Game 2, a team of Andrew and Raymond won against a team of Scott and Eric.
condition(winner(['Andrew', 'Raymond'],['Scott', 'Eric'],2) == 1);

//  In Game 3, a team of Andrew and Raymond won against a team of Scott and Stephen.
condition(winner(['Andrew', 'Raymond'],['Scott', 'Stephen'],3) == 1);

"," In Game 1, a team of Frank and Scott won against a team of Andrew and Raymond.","condition(winner(['Frank', 'Scott'],['Andrew', 'Raymond'],1) == 1);"," In Game 2, a team of Andrew and Raymond won against a team of Scott and Eric.","condition(winner(['Andrew', 'Raymond'],['Scott', 'Eric'],2) == 1);"," In Game 3, a team of Andrew and Raymond won against a team of Scott and Stephen.","condition(winner(['Andrew', 'Raymond'],['Scott', 'Stephen'],3) == 1);"
7," In Game 1, a team of Gregory and Joshua won against a team of Walter and Patrick. In Game 2, a team of Joshua and Jerry won against a team of Walter and Patrick. In Game 3, a team of Joshua and Dennis won against a team of Walter and Patrick."," In Game 1, a team of Gregory and Joshua won against a team of Walter and Patrick."," In Game 2, a team of Joshua and Jerry won against a team of Walter and Patrick."," In Game 3, a team of Joshua and Dennis won against a team of Walter and Patrick.",,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Gregory?","condition(winner(['Gregory', 'Joshua'],['Walter', 'Patrick'],1) == 1);","condition(winner(['Joshua', 'Jerry'],['Walter', 'Patrick'],2) == 1);","condition(winner(['Joshua', 'Dennis'],['Walter', 'Patrick'],3) == 1);",,strength(Joshua),0,stop,"
//  In Game 1, a team of Gregory and Joshua won against a team of Walter and Patrick.
condition(winner(['Gregory', 'Joshua'],['Walter', 'Patrick'],1) == 1);

//  In Game 2, a team of Joshua and Jerry won against a team of Walter and Patrick.
condition(winner(['Joshua', 'Jerry'],['Walter', 'Patrick'],2) == 1);

//  In Game 3, a team of Joshua and Dennis won against a team of Walter and Patrick.
condition(winner(['Joshua', 'Dennis'],['Walter', 'Patrick'],3) == 1);

"," In Game 1, a team of Gregory and Joshua won against a team of Walter and Patrick.","condition(winner(['Gregory', 'Joshua'],['Walter', 'Patrick'],1) == 1);"," In Game 2, a team of Joshua and Jerry won against a team of Walter and Patrick.","condition(winner(['Joshua', 'Jerry'],['Walter', 'Patrick'],2) == 1);"," In Game 3, a team of Joshua and Dennis won against a team of Walter and Patrick.","condition(winner(['Joshua', 'Dennis'],['Walter', 'Patrick'],3) == 1);"
8," In Game 1, a team of Peter and Harold won against a team of Carl and Arthur. In Game 2, a team of Peter and Douglas won against a team of Ryan and Roger. In Game 3, a team of Peter and Henry won against a team of Joe and Juan."," In Game 1, a team of Peter and Harold won against a team of Carl and Arthur."," In Game 2, a team of Peter and Douglas won against a team of Ryan and Roger."," In Game 3, a team of Peter and Henry won against a team of Joe and Juan.",,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Peter?","condition(winner(['Peter', 'Harold'],['Carl', 'Arthur'],1) == 1);","condition(winner(['Peter', 'Douglas'],['Ryan', 'Roger'],2) == 1);","condition(winner(['Peter', 'Henry'],['Joe', 'Juan'],3) == 1);",,strength(Harold),0,stop,"
//  In Game 1, a team of Peter and Harold won against a team of Carl and Arthur.
condition(winner(['Peter', 'Harold'],['Carl', 'Arthur'],1) == 1);

//  In Game 2, a team of Peter and Douglas won against a team of Ryan and Roger.
condition(winner(['Peter', 'Douglas'],['Ryan', 'Roger'],2) == 1);

//  In Game 3, a team of Peter and Henry won against a team of Joe and Juan.
condition(winner(['Peter', 'Henry'],['Joe', 'Juan'],3) == 1);

"," In Game 1, a team of Peter and Harold won against a team of Carl and Arthur.","condition(winner(['Peter', 'Harold'],['Carl', 'Arthur'],1) == 1);"," In Game 2, a team of Peter and Douglas won against a team of Ryan and Roger.","condition(winner(['Peter', 'Douglas'],['Ryan', 'Roger'],2) == 1);"," In Game 3, a team of Peter and Henry won against a team of Joe and Juan.","condition(winner(['Peter', 'Henry'],['Joe', 'Juan'],3) == 1);"
9," In Game 1, a team of Jack and Albert won against a team of Jonathan and Justin. In Game 2, a team of Jack and Jonathan won against a team of Albert and Justin. In Game 3, a team of Jack and Justin won against a team of Albert and Jonathan."," In Game 1, a team of Jack and Albert won against a team of Jonathan and Justin."," In Game 2, a team of Jack and Jonathan won against a team of Albert and Justin."," In Game 3, a team of Jack and Justin won against a team of Albert and Jonathan.",,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Jack?","condition(winner(['Jack', 'Albert'],['Jonathan', 'Justin'],1) == 1);","condition(winner(['Jack', 'Jonathan'],['Albert', 'Justin'],2) == 1);","condition(winner(['Jack', 'Justin'],['Albert', 'Jonathan'],3) == 1);",,strength(Albert),0,stop,"
//  In Game 1, a team of Jack and Albert won against a team of Jonathan and Justin.
condition(winner(['Jack', 'Albert'],['Jonathan', 'Justin'],1) == 1);

//  In Game 2, a team of Jack and Jonathan won against a team of Albert and Justin.
condition(winner(['Jack', 'Jonathan'],['Albert', 'Justin'],2) == 1);

//  In Game 3, a team of Jack and Justin won against a team of Albert and Jonathan.
condition(winner(['Jack', 'Justin'],['Albert', 'Jonathan'],3) == 1);

"," In Game 1, a team of Jack and Albert won against a team of Jonathan and Justin.","condition(winner(['Jack', 'Albert'],['Jonathan', 'Justin'],1) == 1);"," In Game 2, a team of Jack and Jonathan won against a team of Albert and Justin.","condition(winner(['Jack', 'Jonathan'],['Albert', 'Justin'],2) == 1);"," In Game 3, a team of Jack and Justin won against a team of Albert and Jonathan.","condition(winner(['Jack', 'Justin'],['Albert', 'Jonathan'],3) == 1);"
10," In Game 1, Gerald won against Terry. In Game 2, Gerald won against Terry. In Game 3, Gerald won against Terry."," In Game 1, Gerald won against Terry."," In Game 2, Gerald won against Terry."," In Game 3, Gerald won against Terry.",,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Terry?","condition(winner(['Terry'],['Gerald'],1) == 2);","condition(winner(['Terry'],['Gerald'],2) == 2);","condition(winner(['Terry'],['Gerald'],3) == 2);",,strength(Gerald),0,stop,"
//  In Game 1, Gerald won against Terry.
condition(winner(['Terry'],['Gerald'],1) == 2);

//  In Game 2, Gerald won against Terry.
condition(winner(['Terry'],['Gerald'],2) == 2);

//  In Game 3, Gerald won against Terry.
condition(winner(['Terry'],['Gerald'],3) == 2);

"," In Game 1, Gerald won against Terry.","condition(winner(['Terry'],['Gerald'],1) == 2);"," In Game 2, Gerald won against Terry.","condition(winner(['Terry'],['Gerald'],2) == 2);"," In Game 3, Gerald won against Terry.","condition(winner(['Terry'],['Gerald'],3) == 2);"
11," In Game 1, Samuel won against Keith. In Game 2, Willie won against Samuel. In Game 3, Ralph won against Samuel."," In Game 1, Samuel won against Keith."," In Game 2, Willie won against Samuel."," In Game 3, Ralph won against Samuel.",,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Keith?","condition(winner(['Keith'],['Samuel'],1) == 2);","condition(winner(['Samuel'],['Willie'],2) == 2);","condition(winner(['Samuel'],['Ralph'],3) == 2);",,strength(Samuel),0,stop,"
//  In Game 1, Samuel won against Keith.
condition(winner(['Samuel'],['Keith'],1) == 1);

//  In Game 2, Willie won against Samuel.
condition(winner(['Willie'],['Samuel'],2) == 1);

//  In Game 3, Ralph won against Samuel.
condition(winner(['Ralph'],['Samuel'],3) == 1);

"," In Game 1, Samuel won against Keith.","condition(winner(['Samuel'],['Keith'],1) == 1);"," In Game 2, Willie won against Samuel.","condition(winner(['Willie'],['Samuel'],2) == 1);"," In Game 3, Ralph won against Samuel.","condition(winner(['Ralph'],['Samuel'],3) == 1);"
12," In Game 1, Nicholas won against Lawrence. In Game 2, Nicholas won against Roy. In Game 3, Nicholas won against Benjamin."," In Game 1, Nicholas won against Lawrence."," In Game 2, Nicholas won against Roy."," In Game 3, Nicholas won against Benjamin.",,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Lawrence?","condition(winner(['Lawrence'],['Nicholas'],1) == 2);","condition(winner(['Nicholas'],['Roy'],2) == 1);","condition(winner(['Nicholas'],['Benjamin'],3) == 1);",,strength(Nicholas),0,stop,"
//  In Game 1, Nicholas won against Lawrence.
condition(winner(['Lawrence'],['Nicholas'],1) == 2);

//  In Game 2, Nicholas won against Roy.
condition(winner(['Roy'],['Nicholas'],2) == 2);

//  In Game 3, Nicholas won against Benjamin.
condition(winner(['Benjamin'],['Nicholas'],3) == 2);

"," In Game 1, Nicholas won against Lawrence.","condition(winner(['Lawrence'],['Nicholas'],1) == 2);"," In Game 2, Nicholas won against Roy.","condition(winner(['Roy'],['Nicholas'],2) == 2);"," In Game 3, Nicholas won against Benjamin.","condition(winner(['Benjamin'],['Nicholas'],3) == 2);"
13," In Game 1, Brandon won against Bruce. In Game 2, Adam won against Bruce. In Game 3, Harry won against Bruce."," In Game 1, Brandon won against Bruce."," In Game 2, Adam won against Bruce."," In Game 3, Harry won against Bruce.",,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Bruce?","condition(winner(['Bruce'],['Brandon'],1) == 2);","condition(winner(['Bruce'],['Adam'],2) == 2);","condition(winner(['Bruce'],['Harry'],3) == 2);",,strength(Brandon),0,stop,"
//  In Game 1, Brandon won against Bruce.
condition(winner(['Bruce'],['Brandon'],1) == 2);

//  In Game 2, Adam won against Bruce.
condition(winner(['Bruce'],['Adam'],2) == 2);

//  In Game 3, Harry won against Bruce.
condition(winner(['Bruce'],['Harry'],3) == 2);

"," In Game 1, Brandon won against Bruce.","condition(winner(['Bruce'],['Brandon'],1) == 2);"," In Game 2, Adam won against Bruce.","condition(winner(['Bruce'],['Adam'],2) == 2);"," In Game 3, Harry won against Bruce.","condition(winner(['Bruce'],['Harry'],3) == 2);"
